_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
665aef143f4cde2f9d0588bb,true,71.99,100,71.99,78.92,90;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717235476000
665aef033f4cde2f9d058848,,54.39,89.29,67.19,70.99,68;6;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717235459000
665aeef13f4cde2f9d0587ab,,41.59,89.33,59.99,76.91,52;5;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717235441000
665aeecc3f4cde2f9d058673,,27.99,82.54,50.39,59.99,35;5;1;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717235404000
6659aa463f4cde2f9dfb1171,,53.58,93.83,64.78,70.68,67;2;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152326000
6659aa343f4cde2f9dfb10e5,,46.37,93.94,52.76,49.77,58;2;0;0,time,15,-1,0,15.01,1,0,true,true,english,none,normal,false,false,false,,1717152308000
6659aa233f4cde2f9dfb105e,,51.98,94.44,57.58,69.38,65;3;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152291000
6659aa113f4cde2f9dfb0fbe,,25.58,81.82,43.96,50.64,32;6;1;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152273000
6659aa003f4cde2f9dfb0f21,,45.57,95.31,51.16,57.7,57;1;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152256000
6659a9ee3f4cde2f9dfb0e7b,,45.58,91.3,55.17,61.29,57;3;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152238000
6659a9dc3f4cde2f9dfb0deb,,43.17,89.71,54.37,62.35,54;4;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152220000
6659a9ca3f4cde2f9dfb0d4d,,51.16,94.94,63.15,65.71,64;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152202000
6659a9b93f4cde2f9dfb0ca4,,35.99,89.23,51.99,68.85,45;4;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717152185000
6659a9a63f4cde2f9dfb0bdd,,47.2,85.9,62.4,68.44,59;7;1;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717152166000
6659a9943f4cde2f9dfb0b28,,51.97,97.22,57.56,61.83,65;0;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717152148000
6659a97f3f4cde2f9dfb0a5b,,48.99,95.7,55.79,67.67,245;5;1;0,time,60,-1,0,60.01,0,0,true,true,english,none,normal,false,false,false,,1717152127000
6659a9403f4cde2f9dfb0803,,40.99,93.5,49.19,65.89,205;8;1;1,time,60,-1,0,60.01,0,0,true,true,english,none,normal,false,false,false,,1717152064000
6659a8fb3f4cde2f9dfb056d,,41.39,89.66,52.19,60.46,207;16;2;0,time,60,-1,0,60.02,2,0,true,true,english,none,normal,false,false,false,,1717151995000
66596d303f4cde2f9df8fe83,,51.8,95.77,56.8,64.27,259;7;1;1,time,60,-1,0,60,0,0,true,true,english,none,normal,false,false,false,,1717136688000
6657ff223f4cde2f9deba65c,,41.8,88.17,55.8,64.71,209;21;1;1,time,60,-1,0,60,1,0,true,true,english,none,normal,false,false,false,,1717042978000
6657fee23f4cde2f9deba443,,45.59,93.63,53.38,57.91,228;9;1;0,time,60,-1,0,60.02,0,0,true,true,english,none,normal,false,false,false,,1717042914000
6657fea33f4cde2f9deba24f,,41.39,91.22,52.39,59.71,207;13;0;0,time,60,-1,0,60.01,0,0,true,true,english,none,normal,false,false,false,,1717042851000
6657fe613f4cde2f9deba03e,,35.19,90.74,43.19,30.23,44;2;1;0,time,15,-1,0,15,4,0,true,true,english,none,normal,false,false,false,,1717042785000
6657fe473f4cde2f9deb9f66,,35.18,81.36,47.17,50.57,44;8;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717042759000
6657fe363f4cde2f9deb9eb3,,37.57,79.49,62.35,68.44,47;10;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717042742000
665712863f4cde2f9de28cf6,,49.57,92.21,61.57,74.49,62;2;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716982406000
665712753f4cde2f9de28c4c,,50.35,90.12,64.74,68.43,63;5;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716982389000
665712633f4cde2f9de28b7c,,47.96,89.53,68.74,69.82,60;4;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716982371000
6655a59874e223122108fb2b,,44.77,86.3,58.36,63.36,56;7;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716888984000
6655a54574e223122108f7eb,,41.59,93.33,47.99,60.23,52;2;0;0,time,15,-1,0,15,1,0,true,true,english,none,normal,false,false,false,,1716888901000
6655a52174e223122108f684,,58.38,97.4,61.58,67.51,73;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716888865000
6655987a74e2231221087b14,,18.4,83.02,42.39,50.68,23;4;1;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1716885626000
6655986974e2231221087a67,,51.2,94.94,63.19,71.03,64;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1716885609000
6655985874e22312210879cb,,60.76,96.3,64.76,76.77,76;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716885592000
6655984674e2231221087925,,48.79,90,63.99,67.41,61;5;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1716885574000
6655982a74e223122108781c,,61.55,100,61.55,68.3,77;0;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716885546000
6655981774e223122108777b,,55.16,94.94,63.15,62.38,69;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716885527000
6655980574e22312210876d4,,34.39,88.89,50.38,65.02,43;4;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716885509000
665597f474e2231221087634,,43.16,91.94,49.56,53.43,54;3;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1716885492000
665597e174e2231221087570,,36.8,87.32,56.79,57.45,46;5;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1716885473000
665597ce74e22312210874b7,,44.74,86.08,63.12,67.88,56;9;0;0,time,15,-1,0,15.02,0,0,true,true,english,none,normal,false,false,false,,1716885454000
665597ba74e2231221087408,,47.6,91.7,57.79,61.46,238;14;0;1,time,60,-1,0,60.01,1,0,true,true,english,none,normal,false,false,false,,1716885434000
6655977b74e22312210871b0,,51.2,94.48,58,67.69,256;8;2;1,time,60,-1,0,60,0,0,true,true,english,none,normal,false,false,false,,1716885371000
6655973c74e2231221086f42,,32.6,97.73,35.2,16.57,163;2;0;0,time,60,-1,0,60.01,23,0,true,true,english,none,normal,false,false,false,,1716885308000
665596fd74e2231221086ce7,,45.99,90.85,56.78,61.86,230;17;0;0,time,60,-1,0,60.02,1,0,true,true,english,none,normal,false,false,false,,1716885245000
